id;character;jlpt_level;stroke_count;meanings_id;meanings_en;kun_readings;on_readings;example_words;stroke_order_svg;radicals;mnemonic_id;mnemonic_en;order_index;created_at
kanji-n5-001;一;N5;1;satu;one;{ひと-つ};{イチ,イツ};"[{""meaning"":""satu"",""reading"":""ひとつ"",""word"":""一つ""}]";;{};Garis horizontal seperti angka 1;;1;2026-02-07 02:17:33.929972+00
kanji-n5-002;二;N5;2;dua;two;{ふた-つ};{ニ};"[{""meaning"":""dua"",""reading"":""ふたつ"",""word"":""二つ""}]";;{};Dua garis horizontal seperti angka 2;;2;2026-02-07 02:17:33.929972+00
kanji-n5-003;三;N5;3;tiga;three;{み-つ,みっ-つ};{サン};"[{""meaning"":""tiga"",""reading"":""みっつ"",""word"":""三つ""}]";;{};Tiga garis horizontal seperti angka 3;;3;2026-02-07 02:17:33.929972+00
kanji-n5-004;四;N5;5;empat;four;{よ,よん,よっ-つ};{シ};"[{""meaning"":""empat"",""reading"":""よっつ"",""word"":""四つ""}]";;{};Kotak dengan garis di dalam;;4;2026-02-07 02:17:33.929972+00
kanji-n5-005;五;N5;4;lima;five;{いつ-つ};{ゴ};"[{""meaning"":""lima"",""reading"":""いつつ"",""word"":""五つ""}]";;{};Seperti huruf X dengan garis horizontal;;5;2026-02-07 02:17:33.929972+00
kanji-n5-006;六;N5;4;enam;six;{む-つ,むっ-つ};{ロク};"[{""meaning"":""enam"",""reading"":""むっつ"",""word"":""六つ""}]";;{};Atap dengan dua kaki;;6;2026-02-07 02:17:33.929972+00
kanji-n5-007;七;N5;2;tujuh;seven;{なな,なな-つ};{シチ};"[{""meaning"":""tujuh"",""reading"":""ななつ"",""word"":""七つ""}]";;{};Seperti angka 7 terbalik;;7;2026-02-07 02:17:33.929972+00
kanji-n5-008;八;N5;2;delapan;eight;{や-つ,やっ-つ};{ハチ};"[{""meaning"":""delapan"",""reading"":""やっつ"",""word"":""八つ""}]";;{};Dua garis yang membuka ke bawah;;8;2026-02-07 02:17:33.929972+00
kanji-n5-009;九;N5;2;sembilan;nine;{ここの-つ};{キュウ,ク};"[{""meaning"":""sembilan"",""reading"":""ここのつ"",""word"":""九つ""}]";;{};Seperti huruf P tanpa lingkaran;;9;2026-02-07 02:17:33.929972+00
kanji-n5-010;十;N5;2;sepuluh;ten;{とお};{ジュウ,ジッ};"[{""meaning"":""sepuluh"",""reading"":""じゅう"",""word"":""十""}]";;{};Tanda tambah (+);;10;2026-02-07 02:17:33.929972+00
kanji-n5-011;百;N5;6;seratus;hundred;{};{ヒャク,ビャク};"[{""meaning"":""100 yen"",""reading"":""ひゃくえん"",""word"":""百円""}]";;{};Satu di atas putih;;11;2026-02-07 02:17:33.929972+00
kanji-n5-012;千;N5;3;seribu;thousand;{ち};{セン};"[{""meaning"":""1000 yen"",""reading"":""せんえん"",""word"":""千円""}]";;{};Garis melintang di atas badan;;12;2026-02-07 02:17:33.929972+00
kanji-n5-013;日;N5;4;hari, matahari;day, sun;{ひ,か};{ニチ,ジツ};"[{""meaning"":""Minggu"",""reading"":""にちようび"",""word"":""日曜日""}]";;{};Kotak seperti matahari;;13;2026-02-07 02:17:33.929972+00
kanji-n5-014;月;N5;4;bulan;month, moon;{つき};{ゲツ,ガツ};"[{""meaning"":""Senin"",""reading"":""げつようび"",""word"":""月曜日""}]";;{};Bulan sabit dalam kotak;;14;2026-02-07 02:17:33.929972+00
kanji-n5-015;火;N5;4;api;fire;{ひ};{カ};"[{""meaning"":""Selasa"",""reading"":""かようび"",""word"":""火曜日""}]";;{};Orang dengan api di samping;;15;2026-02-07 02:17:33.929972+00
kanji-n5-016;水;N5;4;air;water;{みず};{スイ};"[{""meaning"":""Rabu"",""reading"":""すいようび"",""word"":""水曜日""}]";;{};Aliran air yang mengalir;;16;2026-02-07 02:17:33.929972+00
kanji-n5-017;木;N5;4;pohon, kayu;tree, wood;{き,こ};{モク,ボク};"[{""meaning"":""Kamis"",""reading"":""もくようび"",""word"":""木曜日""}]";;{};Pohon dengan cabang dan akar;;17;2026-02-07 02:17:33.929972+00
kanji-n5-018;金;N5;8;emas, uang;gold, money;{かね,かな};{キン,コン};"[{""meaning"":""Jumat"",""reading"":""きんようび"",""word"":""金曜日""}]";;{};Atap dengan tiga kaki emas;;18;2026-02-07 02:17:33.929972+00
kanji-n5-019;土;N5;3;tanah;earth, soil;{つち};{ド,ト};"[{""meaning"":""Sabtu"",""reading"":""どようび"",""word"":""土曜日""}]";;{};Tanah dengan tanaman tumbuh;;19;2026-02-07 02:17:33.929972+00
kanji-n5-020;人;N5;2;orang;person;{ひと};{ジン,ニン};"[{""meaning"":""orang Jepang"",""reading"":""にほんじん"",""word"":""日本人""}]";;{};Dua kaki orang berjalan;;20;2026-02-07 02:17:33.929972+00
n4_001;不;N4;4;tidak, bukan;not, un-;"{""""}";{フ,ブ};"[{""meaning"":""tidak nyaman"",""reading"":""ふべん"",""word"":""不便""}]";;{};Sayap yang tidak bisa terbang;Wings that cannot fly;1;2026-02-07 02:58:55.163267+00
n4_002;世;N4;5;dunia, generasi;world, generation;{よ};{セイ,セ};"[{""meaning"":""dunia"",""reading"":""せかい"",""word"":""世界""}]";;{};Tiga generasi di atas tanah;Three generations on earth;2;2026-02-07 02:58:55.163267+00
n4_003;主;N4;5;tuan, utama;master, main;{ぬし,おも};{シュ,ス};"[{""meaning"":""tuan rumah"",""reading"":""しゅじん"",""word"":""主人""}]";;{};Raja di atas lilin;King above the candle;3;2026-02-07 02:58:55.163267+00
n4_004;乗;N4;9;naik, menumpang;ride, board;{の.る};{ジョウ};"[{""meaning"":""naik"",""reading"":""のる"",""word"":""乗る""}]";;{};Naik pohon dengan dua orang;Riding a tree with two people;4;2026-02-07 02:58:55.163267+00
