id;deck_id;front_text;front_subtext;front_image_url;back_text;back_subtext;back_reading;back_example;audio_url;tags;difficulty;order_index;created_at
fc-hira-001;deck-hiragana;あ;Hiragana;;A;Vokal;a;;;{vowel,basic};1;1;2026-01-22 15:03:48.51809+00
fc-hira-002;deck-hiragana;い;Hiragana;;I;Vokal;i;;;{vowel,basic};1;2;2026-01-22 15:03:48.51809+00
fc-hira-003;deck-hiragana;う;Hiragana;;U;Vokal;u;;;{vowel,basic};1;3;2026-01-22 15:03:48.51809+00
fc-hira-004;deck-hiragana;え;Hiragana;;E;Vokal;e;;;{vowel,basic};1;4;2026-01-22 15:03:48.51809+00
fc-hira-005;deck-hiragana;お;Hiragana;;O;Vokal;o;;;{vowel,basic};1;5;2026-01-22 15:03:48.51809+00
fc-hira-006;deck-hiragana;か;Hiragana;;KA;K-row;ka;;;{k-row,basic};1;6;2026-01-22 15:03:48.51809+00
fc-hira-007;deck-hiragana;き;Hiragana;;KI;K-row;ki;;;{k-row,basic};1;7;2026-01-22 15:03:48.51809+00
fc-hira-008;deck-hiragana;く;Hiragana;;KU;K-row;ku;;;{k-row,basic};1;8;2026-01-22 15:03:48.51809+00
fc-hira-009;deck-hiragana;け;Hiragana;;KE;K-row;ke;;;{k-row,basic};1;9;2026-01-22 15:03:48.51809+00
fc-hira-010;deck-hiragana;こ;Hiragana;;KO;K-row;ko;;;{k-row,basic};1;10;2026-01-22 15:03:48.51809+00
fc-hira-011;deck-hiragana;さ;Hiragana;;SA;S-row;sa;;;{s-row,basic};1;11;2026-01-22 15:03:48.51809+00
fc-hira-012;deck-hiragana;し;Hiragana;;SHI;S-row (⚠️ bukan SI);shi;;;{s-row,exception};2;12;2026-01-22 15:03:48.51809+00
fc-hira-013;deck-hiragana;す;Hiragana;;SU;S-row;su;;;{s-row,basic};1;13;2026-01-22 15:03:48.51809+00
fc-hira-014;deck-hiragana;せ;Hiragana;;SE;S-row;se;;;{s-row,basic};1;14;2026-01-22 15:03:48.51809+00
fc-hira-015;deck-hiragana;そ;Hiragana;;SO;S-row;so;;;{s-row,basic};1;15;2026-01-22 15:03:48.51809+00
fc-hira-016;deck-hiragana;た;Hiragana;;TA;T-row;ta;;;{t-row,basic};1;16;2026-01-22 15:03:48.51809+00
fc-hira-017;deck-hiragana;ち;Hiragana;;CHI;T-row (⚠️ bukan TI);chi;;;{t-row,exception};2;17;2026-01-22 15:03:48.51809+00
fc-hira-018;deck-hiragana;つ;Hiragana;;TSU;T-row (⚠️ bukan TU);tsu;;;{t-row,exception};2;18;2026-01-22 15:03:48.51809+00
fc-hira-019;deck-hiragana;て;Hiragana;;TE;T-row;te;;;{t-row,basic};1;19;2026-01-22 15:03:48.51809+00
